"Day","Cash On Hand"
11,344757
12,298736
13,447133
14,234336
15,302451
16,535860
17,16324
18,259524
19,456980
20,382280
21,165421
22,222596
23,123872
24,106002
25,133355
26,157234
27,244293
28,171781
29,234934
30,520049
31,132354
32,563370
33,142512
34,339797
35,163997
36,52089
37,200878
38,195680
39,448094
40,242983
41,242739
42,170748
43,38355
44,479783
45,504239
46,219586
47,575609
48,64544
49,385390
50,229390
51,448597
52,920083
53,2155582
54,2991544
55,2910284
56,3165866
57,3345458
58,3623882
59,3253901
60,3263228
61,3159609
62,3700062
63,3838064
64,2744769
65,4536031
66,5717469
67,5606082
68,5920685
69,5305664
70,9451329
71,12000895
72,12226970
73,13412659
74,12201797
75,12015898
76,12240978
77,12516720
78,11653399
79,13712126
80,12298677
81,13311922
82,14104177
83,14401594
84,16341828
85,16410027
86,16518901
87,15540452
88,15087117
89,15159580
90,14117705
